번호,가게명,가게주소,가게시작시간,가게종료시간,가게전화번호,메인이미지URL,서브이미지1URL,서브이미지2URL,서브이미지3URL
95,메가MGC커피 수유중앙점,서울 강북구 삼양로 308 진주빌딩 1층 (우)01112,08:00,22:00,02-983-9080,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F6858BEF018B64717972F31C427FA873E,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F1211165B0D4B434BA333CBB654030329,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F969F4D7A813E46B1BE5F6AE1481F4D20,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC02AFD48C6314D79B9DAB820F3F3C01E
96,파라스파라 델리,서울 강북구 삼양로 689 파라스파라 서울 라운드동 지하 1층 (우)01000,"",09:00,02-3408-5060,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbc5da9666ac10e2718b923f2338225c257372a0a%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F33b33f53b6fb7d6b2821f56e5e7d88260b598404%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fba617de03d7ca6fddb91c545d520771142b1875f%3Foriginal
97,제니스키친앤드커피,서울 강북구 4.19로25길 13 1층 (우)01016,11:00,22:00,070-4288-0808,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
98,컴포즈커피 미아사거리역점,서울 강북구 도봉로 52 와이스퀘어 1층 (우)01215,08:00,22:00,02-6312-6199,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
99,빽다방 가오리역점,서울 강북구 삼양로 433 1층 (우)01034,08:00,22:00,02-991-0037,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
100,메가MGC커피 미아중앙점,서울 강북구 도봉로 174 1층 104호 (우)01158,"","",02-980-9888,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Ffedd53c8e1c9e15bae50468ce717732b459accb9%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F782f8c3b92665af79ea09f7889ae642932a6a955%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fbbcce9e7d093c8fc2a37c55644e59f97095056ce%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA2MDFfMjI3%2FMDAxNjg1NTQ3NDI3Mjg4.F6Y8hTQYM8BJygC04MeyIRsN-wW7bBbFs1lSyKnXMV0g.Z28jtF9RRQG0ScotYF1f8oJeua8UZZFKMTe00AZwTMEg.JPEG.chltlsgp93%2FIMG_8977.jpg%3Ftype%3Dw773
101,헤미카페,"서울 강북구 4.19로 70 1,2층 (우)01012","",09:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC85F63AA99B24089AC2D1CCB58B08D88,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FAC9723436F6E4F53B0E0AA50845C8DDE,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6857fb6616c79ac1817feafe78f7dbf14ddbd53b%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Faabf0b8f08fe3cfa8e5da341af41cfe99ff7770e%3Foriginal
102,할아버지카페,서울 강북구 삼양로173길 40 1층 (우)01002,"",08:00,02-999-0369,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F29ACB9BD46684D4E9AF4DF5CCB3AAD2E,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F673b42badad0b5d2c83b43c5714ef7182a2fece2%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzA4MzBfMjcx%2FMDAxNjkzMzY4NzQ1NjE2.llfikK7kLIvkrNN93JFIYxRxWOwrR79TNAHunZSCP84g.UaHxfiBf-atc1wO8MX68b4omMsI82XF1jzkDCR0E8MYg.JPEG.eylanbwjung%2Fkorea-famous-restaurant-%25EB%258B%25A4%25EC%259A%25B4%25EB%25A1%259C%25EB%2593%259C_(16,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMjA2MTlfMTky%2FMDAxNjU1NjE2NTQ4OTc0.mGviIngqnKe0tCy0XjtE0OAJg0WoynZM-eC3T6Saf8og.GLnmLdicinHO08nAerDsiZTv0p0jPZ9KC0GVMgTNTG8g.JPEG.bescolded%2F20220514%25EF%25BC%25BF141838.jpg%3Ftype%3Dw773
103,엔제리너스 북한산419점,서울 강북구 4.19로 64 (우)01012,09:00,22:00,02-995-0965,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F6A8628E0AA2A4749B1FF7E6E02469531,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F1B966602C376453FA7FA44615184CA5B,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F64E481CFA1B840DD9E2FF858C6D858DD,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FDE7C47CBA6274014AC6882D8B89DC087
104,봉봉키즈 강북점,서울 강북구 삼양로27길 80 두산위브트레지움 2단지 상가 112호 (우)01193,"","",0507-1427-0381,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F10D4306973C64E6DB5B61EBB03219AE7,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDEwMDhfNyAg%2FMDAxNzI4MzU4NzM5Mjg0.UTipDNQbd4X-HaFO4AWKgrGZW7tuPGO2Af2O2nStPdgg.UPwTVJa64YV0Lt9XD2uok_CViZ2q9ph3l8kB10PfVXMg.JPEG%2FSE-b5b01faf-4b29-4030-ac3d-7b2f44892db2.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MDJfMjQ5%2FMDAxNzIyNTk0Nzg1Njgy.emxLjB7NePxlTlBFsKrlpRZkF930EqWsvnhV8Sa8ByYg.5OcO5wqcfoKojCuhB5gL7DbPgkZnhNfJRF0iPn8fabMg.JPEG%2FSE-591e2327-4fca-11ef-9dc2-11abfb411453.jpg%3Ftype%3Dw966,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDA4MDJfMTgy%2FMDAxNzIyNTk0NzgzNjI5.BzJjjFT5sHphsje9sfHjnRjsi2Y5aA2302DakFS35VIg.zEW_KVuLYamx-7y3l9PD_E5i_SQ7ti6GsGW3TW6ANtsg.JPEG%2FSE-591d5fd6-4fca-11ef-9dc2-f1dd17ae8c58.jpg%3Ftype%3Dw966
105,로쿠바 커피 로스터즈,서울 강북구 한천로139길 11 1층 (우)01074,"",08:00,010-8526-7847,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
106,모비딕 수유점,서울 강북구 도봉로 350 삼주빌딩 4층 (우)01063,11:00,01:00,02-981-4320,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F3b59b8f47aa3b1c514543e3748065d2ca4d32ea6%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F6c50906e2b7a911dc1ff621ca544de708952e868%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F71bb80934169a9e5b8a8a4d8438f3f49c347b0bf%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fad3ae6ebf3110e53d122bf5d9fb56cf692c68b50%3Foriginal
107,메가MGC커피 강북시장점,서울 강북구 한천로 1059-1 1층 (우)01070,"","",02-908-2325,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F7225ACC85FE44E6885040C9A4EA76BFF,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb753a753a073657ddb713a71d71389bc1cdaf401%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5d1ad7ec68935f8eb60928d6668e5ad0703fb89d%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F04044d6be7582c8ba0d98d6f32df66c548f88f10%3Foriginal
108,댕스데이,서울 강북구 노해로8길 29 현대크리스탈 3층 301호 (우)01072,"",13:00,0507-1333-9812,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F51237804A48742DDA89A41DDF08759AC,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F94cac6bfdbc5364a8fcce7be5412abd6405d3036%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F7278c141cb8002b53dca4dcbfd3016be94a1db06%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5e872c0771ee1e649276fa6d8dea19f946715127%3Foriginal
109,메가MGC커피 419사거리점,서울 강북구 삼양로 510 1층 (우)01044,"","",02-900-1288,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fca1dbf572200920a1eeb97cdad1186d01a784dd9%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F4e2e579fd7e1425fdc492c3cb8d4729890199a41%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5d4df00756cabbcdb0831cc5e316ba0004719b0c%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyNDAzMjJfMzQg%2FMDAxNzExMDk3NDEzNTQ2.GzNOqpmBzvYPZoJmcNmKHupc8-5oYpTuO23QRsaOnrMg.nYQm1hdpDy-E0_nYykgsNvN1HztafMZU6enqocVN6iwg.JPEG%2FSNOW%25EF%25BC%25BF20240322%25EF%25BC%25BF172627%25EF%25BC%25BF076.jpg%3Ftype%3Dw966
110,북한산라운지,서울 강북구 삼양로173길 220 (우)01002,"",06:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F0C3585A0F4E94D189CE6A30602152565,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F452b80d4f2a827692313427c68ea2808d0d3aa42%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fcfa30f5fa95f530d6687d492f6d97c1d471ef996%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb3001ac3032a84bdc547123684ea2210c77241e6%3Foriginal
111,백억커피 미아사거리점,서울 강북구 월계로7길 67 (우)01218,00:00,24:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FBF9EEF4F4B3F4F39A135AA919A4BEA90,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc6d58b4fd6a0429d6f0824b5981dda88453ab9c3%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F9a95ea0274c4c64f491d0a517e1d3c9f15b1d5ca%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F8D1C5E95A3BD4594A2DF6C75E11EF318
112,카페백야,서울 강북구 노해로21길 7 2층 (우)01048,"",10:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F5122E9A090CA440483BC4A086C809D74,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0766DA96EE3C4F4A9D0FECC36E73ED2A,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F0AB35909D57740C1969257528F21A1FE,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F423cdb485d1ab2b48be72eb73ac3384f9612f742%3Foriginal
113,어셈블,서울 강북구 한천로 1007 1층 (우)01064,"",12:00,010-5299-2813,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FB29696E02B5042DF93154189B91D3CCD,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5fd9807bb788ebdca7a79a795aaae00f3ae83abd%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F501acbb74a2b8abbbd835cb3b5be92df979990a6%3Foriginal
114,경스커피 수유본점,서울 강북구 한천로131길 23 1층 (우)01064,08:00,18:00,02-6085-4463,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
115,메가MGC커피 미아영훈초점,서울 강북구 숭인로 39 송천센트레빌 111호 (우)01213,08:30,21:50,02-988-2340,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F5657b2e9a7a8f19fc9008c1246d4fa7a9e13f439%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F64E7D1F8B8E84368BAA38D3A173A23DD,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FA3AC706BC7604BF2BB7A3BD6168F8E57,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC9B50B9ED80A4363ADF0F849DEB97447
116,이디야커피 수유사거리점,서울 강북구 덕릉로 82 제네스타워 1층 (우)01113,08:30,22:00,02-984-9640,//img1.kakaocdn.net/cthumb/local/C640x320.q50/?fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2F276EC348552340C412,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
117,낙과유수 본점,서울 강북구 도봉로101길 59 1층 (우)01052,10:00,22:00,02-990-8808,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F4E56DE44D87041DCBC02814EC9B351F5,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F575E80A52F2A4F64BA330FF99DDFC05B,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2F29560138A85644DEB9F8E3C891EAB160,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Ffiy_reboot%2Fplace%2FD1638133A44B4D95BD2E5288D9F51CBE
118,다이브인유어메모리,서울 강북구 삼각산로 10-3 (우)01019,"","",02-771-1565,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
119,카페일렉트,서울 강북구 한천로139나길 14-17 2층 카페일렉트 (우)01071,12:00,21:00,0503-7150-1491,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F48A973D036C94DE78E6C6D180E00EE35,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FA8ECC4F8458C4153A4194B5B3FA8DFE3,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FAFFBB40652B145B6871FB18EACFB054A,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=https%3A%2F%2Fpostfiles.pstatic.net%2FMjAyMzEyMDFfMTkg%2FMDAxNzAxNDE2NDE1NTE0.WR5praEW_mnFbyYpNTQAgjI0cnMRY6bK7QbF3RYwzgAg.TBdF5m6HKNCjNzGsIgaZYdfSDjxCSr1OqyKl2pND1kcg.JPEG.15jnew%2FIMG_8665.JPG%3Ftype%3Dw966
120,컴포즈커피 수유역점,서울 강북구 오패산로 417 1층 (우)01062,08:00,22:00,02-998-4160,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
121,언유주얼,"서울 강북구 한천로132길 66 1층 101,102호 (우)01056","",11:00,"",//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F00504FF29FF247C8B7B5B798BF29A659,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fb36af69995ecd9f7c554b51e286b4ea5d3005e1c%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fe6cbf0e066ed042b6a1cdb302abb1d3476691d4b%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F012188beb0b79f61a012837cd4428959654cdeb5%3Foriginal
122,빽다방 빨래골입구점,"서울 강북구 삼양로 293 1층 106,107호 (우)01103",08:00,22:00,070-4793-0240,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
123,빽다방 수유역점,서울 강북구 도봉로 352 효성네오인텔리안 1층 103호 (우)01063,07:30,23:00,02-998-3344,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
124,바나프레소 미아사거리역점,서울 강북구 도봉로 45 1층 (우)01211,07:00,23:00,070-8998-8958,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa2a3af712b494b457daefd4098249c825ef97be7%3Foriginal,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F70228a45074a80ff51a01f654f304fe7bd0d477a%3Foriginal,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png
125,이디야커피 미아중앙점,서울 강북구 도봉로 128 1층 (우)01161,"",08:00,02-986-8959,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F07973F6CCEFA40E29C05460A8FCFB349,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fafa226dae61108cbeb418db8f030ea7ca48cfb4a%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F1708c4580852b7af110356615cbf96164ec297e5%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F3BB9FF09EAB6405997DFE7DD4435918F
126,베어링,서울 강북구 오현로 175 1층 (우)01146,"",10:00,02-6105-0133,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F80DF44985F104BA8BCFC2AD0EEB8FD63,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FC88954C41B4D43B58EFE34318B89F700,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F8510d66d1e6663aa5e74a38da9133f7d9340c855%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fc5a14b6249ec9a933d308ff5727415b759045dea%3Foriginal
127,니즈커피,서울 강북구 도봉로20가길 79 (우)01160,10:00,22:50,070-8878-9977,//img1.kakaocdn.net/cthumb/local/C320x320.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2FEE68468EE58745EEAA963375DBF95E9C,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2Fa4020dbc708b4111dadb90ec4abe8179560a75e1%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Flocal%2FkakaomapPhoto%2Freview%2F709fea6754278a8597fee2b2906ed0b1b63e2b68%3Foriginal,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fplace%2F787B49A9A77E4864BCD69746D3DEF094
128,헬로우수유,서울 강북구 도봉로85길 14 1층 (우)01073,"",10:00,02-999-7850,file:///C:/spring_work/workspace/CoffiesVol.02/default_image.png,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2FF08A9357CD894B7C9B8526A190855180,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F20BEE1A793A34402AB5860482418D75F,//img1.kakaocdn.net/cthumb/local/C160x160.q50/?fname=http%3A%2F%2Ft1.kakaocdn.net%2Fmystore%2F7220E2DF33B140A7BC6CCEFB4811D42C
